atleta_id,apelido,clube_id,foto,jogos_num,media_num,nome,pontos_num,posicao_id,preco_num,rodada_id,scout,status_id,variacao_num
99588,Paulo Vitor,267,https://s.glbimg.com/es/sde/f/2017/05/16/c3de8fe5a5e7d8b3b82388574097a641_FORMATO.png,1,0.0,Paulo Vitor Fernandes Pereira,0.0,5,1.4100000000000001,2,{},6,0.0
77777,João Schmidt ,276,https://s.glbimg.com/es/sde/f/2016/05/01/5214f931543621b3d23666a103f23d6e_FORMATO.png,2,0.7000000000000001,João Felipe Schimdt Urbano,-0.30000000000000004,4,4.35,2,"{'FC': 2, 'FS': 1, 'PE': 5, 'RB': 2}",6,-1.1
73649,Lucas Pratto,276,https://s.glbimg.com/es/sde/f/2017/02/18/2291ee0103b8af06799aee5ab657b149_FORMATO.png,2,3.15,Lucas David Pratto,8.7,5,13.24,2,"{'FC': 3, 'FD': 1, 'FF': 3, 'G': 1, 'PE': 11}",7,-0.62
89930,Andrigo,373,https://s.glbimg.com/es/sde/f/2017/05/19/78c75bce6fe9af97abe3a17761c64821_FORMATO.png,2,0.4,Andrigo Oliveira de Araujo,0.8,4,2.42,2,"{'PE': 3, 'RB': 1}",6,-0.41000000000000003
63172,Paulão,267,https://s.glbimg.com/es/sde/f/2017/05/17/e601d16bd24dd07614db1ad805107a5d_FORMATO.png,1,4.1,Paulo Marcos de Jesus Ribeiro,4.1,3,6.18,2,"{'FS': 2, 'PE': 1, 'RB': 2}",7,0.18
91102,Flávio,287,,1,0.0,Flávio Medeiros da Silva,0.0,4,2.12,2,{},6,0.0
82644,Léo Artur,303,https://s.glbimg.com/es/sde/f/2017/05/17/c881bfd0aef6dfdf5a235115b617387f_FORMATO.png,0,0.0,Leonardo Artur de Melo,0.0,4,3.0,2,{},6,0.0
68822,Rafael Santos,265,https://s.glbimg.com/es/sde/f/2017/05/16/f798488456d6106dffa1290a3ba13758_FORMATO.png,0,0.0,Rafael de Carvalho Santos,0.0,1,3.0,2,{},6,0.0
79041,Thomaz,276,https://s.glbimg.com/es/sde/f/2017/04/28/df8a959dc2f3885176d2c02e5d69a246_FORMATO.png,2,1.55,Antonio Thomaz Santos de Barros,1.2,4,3.1,2,"{'FC': 1, 'FS': 2, 'I': 1, 'PE': 1, 'RB': 2}",7,0.34
82411,Cueva,276,https://s.glbimg.com/es/sde/f/2016/06/28/a68882f174b592bf4e78dbc9818a4465_FORMATO.jpeg,2,2.0,Christian Alberto Cueva Bravo,1.7000000000000002,4,11.91,2,"{'FF': 2, 'FS': 2, 'PE': 6, 'RB': 2}",7,-2.45
86970,Eduardo Gabriel,373,https://s.glbimg.com/es/sde/f/2017/05/16/6df3a6dcc8e63e4150be30f47923ef6a_FORMATO.png,0,0.0,Eduardo Gabriel dos Santos Bauermann,0.0,3,2.0,2,{},6,0.0
